Date,Transaction Type,Vch No,Ref No,Reference Type,Reference Date,Debtor,Reference Amount,Amount,Particulars,Vch Type,Amount Verified
20200701,Child,166,1800047430,New Ref,,Bajaj Finserv,4244.4,NA,Bajaj Finserv,Receipt,NO
20200701,Parent,166,NA,NA,,Bajaj Finserv,NA,0,Bajaj Finserv,Receipt,NO
20200701,Child,167,1800044013,New Ref,,Bajaj Finserv,1495.12,NA,Bajaj Finserv,Receipt,NO
20200701,Parent,167,NA,NA,,Bajaj Finserv,NA,0,Bajaj Finserv,Receipt,NO
20200701,Parent,SSI20-21/PI-029,NA,NA,NA,Upper Assam Cycle Co.,NA,0,Upper Assam Cycle Co.,Receipt,NO
20200701,Parent,SSI20-21/PI-030,NA,NA,NA,Bike & Hike Adventures,NA,0,Bike & Hike Adventures,Receipt,NO
20200701,Child,SSI20210595,SSI20210595,New Ref,,Saaj Creatives,-194292.0,NA,Saaj Creatives,Receipt,NO
20200701,Parent,SSI20210595,NA,NA,,Saaj Creatives,NA,0,Saaj Creatives,Receipt,NO
20200701,Child,SSI20210596,SSI20210596,New Ref,,Gear Up,-176198.0,NA,Gear Up,Receipt,NO
20200701,Parent,SSI20210596,NA,NA,,Gear Up,NA,0,Gear Up,Receipt,NO
20200701,Child,SSI20210597,SSI20210597,New Ref,,Gear Up,-83972.0,NA,Gear Up,Receipt,NO
20200701,Parent,SSI20210597,NA,NA,,Gear Up,NA,0,Gear Up,Receipt,NO
20200701,Child,SSI20210598,SSI20210598,New Ref,,HIMALAYAN DAILY NEED,-69673.0,NA,HIMALAYAN DAILY NEED,Receipt,NO
20200701,Parent,SSI20210598,NA,NA,,HIMALAYAN DAILY NEED,NA,0,HIMALAYAN DAILY NEED,Receipt,NO
20200701,Child,SSI20210599,SSI20210599,New Ref,,HIMALAYAN DAILY NEED,-32175.0,NA,HIMALAYAN DAILY NEED,Receipt,NO
20200701,Parent,SSI20210599,NA,NA,,HIMALAYAN DAILY NEED,NA,0,HIMALAYAN DAILY NEED,Receipt,NO
20200701,Child,SSI20210600,SSI20210600,New Ref,,HIMALAYAN DAILY NEED,-11523.0,NA,HIMALAYAN DAILY NEED,Receipt,NO
20200701,Parent,SSI20210600,NA,NA,,HIMALAYAN DAILY NEED,NA,0,HIMALAYAN DAILY NEED,Receipt,NO
20200701,Child,396,SSI20210348,Agst Ref,,HIMALAYAN DAILY NEED,50000.0,NA,HIMALAYAN DAILY NEED,Receipt,NO
20200701,Other,396,NA,NA,,Standard Chartered Bank,NA,-50000.00,Standard Chartered Bank,Receipt,NO
20200701,Other,396,NA,NA,,HIMALAYAN DAILY NEED,NA,0,HIMALAYAN DAILY NEED,Receipt,NO
20200701,Child,SSI20210601,SSI20210601,New Ref,,The Jalpai Motor & Cycle Co,-24192.0,NA,The Jalpai Motor & Cycle Co,Receipt,NO
20200701,Parent,SSI20210601,NA,NA,,The Jalpai Motor & Cycle Co,NA,0,The Jalpai Motor & Cycle Co,Receipt,NO
20200701,Child,SSI20210602,SSI20210602,New Ref,,The Jalpai Motor & Cycle Co,-67032.0,NA,The Jalpai Motor & Cycle Co,Receipt,NO
20200701,Parent,SSI20210602,NA,NA,,The Jalpai Motor & Cycle Co,NA,0,The Jalpai Motor & Cycle Co,Receipt,NO
20200701,Child,SSI20210603,SSI20210603,New Ref,,The Jalpai Motor & Cycle Co,-22972.0,NA,The Jalpai Motor & Cycle Co,Receipt,NO
20200701,Parent,SSI20210603,NA,NA,,The Jalpai Motor & Cycle Co,NA,0,The Jalpai Motor & Cycle Co,Receipt,NO
20200701,Child,SSI20210604,SSI20210604,New Ref,,The Jalpai Motor & Cycle Co,-28420.0,NA,The Jalpai Motor & Cycle Co,Receipt,NO
20200701,Parent,SSI20210604,NA,NA,,The Jalpai Motor & Cycle Co,NA,0,The Jalpai Motor & Cycle Co,Receipt,NO
20200701,Child,SSI20210605,SSI20210605,New Ref,,NOREN CYCLES 'N' OUTDOOR SPORTS,-142531.0,NA,NOREN CYCLES 'N' OUTDOOR SPORTS,Receipt,NO
20200701,Parent,SSI20210605,NA,NA,,NOREN CYCLES 'N' OUTDOOR SPORTS,NA,0,NOREN CYCLES 'N' OUTDOOR SPORTS,Receipt,NO
20200701,Child,SSI20210606,SSI20210606,New Ref,,NOREN CYCLES 'N' OUTDOOR SPORTS,-38052.0,NA,NOREN CYCLES 'N' OUTDOOR SPORTS,Receipt,NO
20200701,Parent,SSI20210606,NA,NA,,NOREN CYCLES 'N' OUTDOOR SPORTS,NA,0,NOREN CYCLES 'N' OUTDOOR SPORTS,Receipt,NO
20200701,Child,SSI20210607,SSI20210607,New Ref,,NOREN CYCLES 'N' OUTDOOR SPORTS,-17916.0,NA,NOREN CYCLES 'N' OUTDOOR SPORTS,Receipt,NO
20200701,Parent,SSI20210607,NA,NA,,NOREN CYCLES 'N' OUTDOOR SPORTS,NA,0,NOREN CYCLES 'N' OUTDOOR SPORTS,Receipt,NO
20200701,Child,SSI20210608,SSI20210608,New Ref,,NOREN CYCLES 'N' OUTDOOR SPORTS,-22389.0,NA,NOREN CYCLES 'N' OUTDOOR SPORTS,Receipt,NO
20200701,Parent,SSI20210608,NA,NA,,NOREN CYCLES 'N' OUTDOOR SPORTS,NA,0,NOREN CYCLES 'N' OUTDOOR SPORTS,Receipt,NO
20200701,Child,SSI20210609,SSI20210609,New Ref,,Chandigarh Auto Care,-164649.0,NA,Chandigarh Auto Care,Receipt,NO
20200701,Parent,SSI20210609,NA,NA,,Chandigarh Auto Care,NA,0,Chandigarh Auto Care,Receipt,NO
20200701,Child,SSI20210610,SSI20210610,New Ref,,Chandigarh Auto Care,-121928.0,NA,Chandigarh Auto Care,Receipt,NO
20200701,Parent,SSI20210610,NA,NA,,Chandigarh Auto Care,NA,0,Chandigarh Auto Care,Receipt,NO
20200701,Child,SSI20210611,SSI20210611,New Ref,,Chandigarh Auto Care,-145313.0,NA,Chandigarh Auto Care,Receipt,NO
20200701,Parent,SSI20210611,NA,NA,,Chandigarh Auto Care,NA,0,Chandigarh Auto Care,Receipt,NO
20200701,Child,SSI20210612,SSI20210612,New Ref,,Chandigarh Auto Care,-48819.0,NA,Chandigarh Auto Care,Receipt,NO
20200701,Parent,SSI20210612,NA,NA,,Chandigarh Auto Care,NA,0,Chandigarh Auto Care,Receipt,NO
20200701,Child,SSI20210613,SSI20210613,New Ref,,Chandigarh Auto Care,-4717.0,NA,Chandigarh Auto Care,Receipt,NO
20200701,Parent,SSI20210613,NA,NA,,Chandigarh Auto Care,NA,0,Chandigarh Auto Care,Receipt,NO
20200701,Child,SSI20210614,SSI20210614,New Ref,,Chandigarh Auto Care,-57372.0,NA,Chandigarh Auto Care,Receipt,NO
20200701,Parent,SSI20210614,NA,NA,,Chandigarh Auto Care,NA,0,Chandigarh Auto Care,Receipt,NO
20200701,Child,SSI20210615,SSI20210615,New Ref,,Ajit Cycle Stores,-85754.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Parent,SSI20210615,NA,NA,,Ajit Cycle Stores,NA,0,Ajit Cycle Stores,Receipt,NO
20200701,Child,SSI20210616,SSI20210616,New Ref,,Ajit Cycle Stores,-37842.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Parent,SSI20210616,NA,NA,,Ajit Cycle Stores,NA,0,Ajit Cycle Stores,Receipt,NO
20200701,Child,SSI20210617,SSI20210617,New Ref,,Ajit Cycle Stores,-22596.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Parent,SSI20210617,NA,NA,,Ajit Cycle Stores,NA,0,Ajit Cycle Stores,Receipt,NO
20200701,Child,SSI20210618,SSI20210618,New Ref,,Ajit Cycle Stores,-58968.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Parent,SSI20210618,NA,NA,,Ajit Cycle Stores,NA,0,Ajit Cycle Stores,Receipt,NO
20200701,Child,SSI20210619,SSI20210619,New Ref,,Ajit Cycle Stores,-15210.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Parent,SSI20210619,NA,NA,,Ajit Cycle Stores,NA,0,Ajit Cycle Stores,Receipt,NO
20200701,Child,SSI20210620,SSI20210620,New Ref,,Ajit Cycle Stores,-7862.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Parent,SSI20210620,NA,NA,,Ajit Cycle Stores,NA,0,Ajit Cycle Stores,Receipt,NO
20200701,Child,397,SSI19202245,Agst Ref,,Ajit Cycle Stores,55.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Child,397,SSI19202246,Agst Ref,,Ajit Cycle Stores,2572.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Child,397,SSI19202600,Agst Ref,,Ajit Cycle Stores,941.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Child,397,SSICN/19-20/470,Agst Ref,,Ajit Cycle Stores,-3068.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Child,397,SSICN/19-20/471,Agst Ref,,Ajit Cycle Stores,-500.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Child,397,SSI19202955,Agst Ref,,Ajit Cycle Stores,699.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Child,397,SSI20210333,Agst Ref,,Ajit Cycle Stores,28476.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Child,397,SSI20210334,Agst Ref,,Ajit Cycle Stores,75684.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Child,397,SSI20210335,Agst Ref,,Ajit Cycle Stores,90811.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Child,397,SSI20210336,Agst Ref,,Ajit Cycle Stores,26309.0,NA,Ajit Cycle Stores,Receipt,NO
20200701,Other,397,NA,NA,,Standard Chartered Bank,NA,-221979.00,Standard Chartered Bank,Receipt,NO
20200701,Other,397,NA,NA,,Ajit Cycle Stores,NA,0,Ajit Cycle Stores,Receipt,NO
20200701,Child,SSI20210621,SSI20210621,New Ref,,The Bike Shop,-43384.0,NA,The Bike Shop,Receipt,NO
20200701,Parent,SSI20210621,NA,NA,,The Bike Shop,NA,0,The Bike Shop,Receipt,NO
20200701,Child,398,SSI20210201,Agst Ref,,The Bike Shop,400103.53,NA,The Bike Shop,Receipt,NO
20200701,Child,398,SSI20210202,Agst Ref,,The Bike Shop,41440.0,NA,The Bike Shop,Receipt,NO
20200701,Child,398,SSI20210203,Agst Ref,,The Bike Shop,65384.0,NA,The Bike Shop,Receipt,NO
20200701,Child,398,SSI20210204,Agst Ref,,The Bike Shop,64512.0,NA,The Bike Shop,Receipt,NO
20200701,Child,398,SSI20210205,Agst Ref,,The Bike Shop,85523.0,NA,The Bike Shop,Receipt,NO
20200701,Child,398,SSI20210297,Agst Ref,,The Bike Shop,143360.0,NA,The Bike Shop,Receipt,NO
20200701,Child,398,SSI20210298,Agst Ref,,The Bike Shop,117412.0,NA,The Bike Shop,Receipt,NO
20200701,Child,398,SSI20210393,Agst Ref,,The Bike Shop,82265.47,NA,The Bike Shop,Receipt,NO
20200701,Other,398,NA,NA,,Standard Chartered Bank,NA,-1000000.00,Standard Chartered Bank,Receipt,NO
20200701,Other,398,NA,NA,,The Bike Shop,NA,0,The Bike Shop,Receipt,NO
20200701,Child,SSI20210622,SSI20210622,New Ref,,The Bike Shop,-286720.0,NA,The Bike Shop,Receipt,NO
20200701,Parent,SSI20210622,NA,NA,,The Bike Shop,NA,0,The Bike Shop,Receipt,NO
20200701,Child,SSI20210623,SSI20210623,New Ref,,The Bike Shop,-916232.0,NA,The Bike Shop,Receipt,NO
20200701,Parent,SSI20210623,NA,NA,,The Bike Shop,NA,0,The Bike Shop,Receipt,NO
20200701,Child,SSI20210624,SSI20210624,New Ref,,The Bike Shop,-20483.0,NA,The Bike Shop,Receipt,NO
20200701,Parent,SSI20210624,NA,NA,,The Bike Shop,NA,0,The Bike Shop,Receipt,NO
20200701,Child,SSI20210625,SSI20210625,New Ref,,The Bike Shop,-47152.0,NA,The Bike Shop,Receipt,NO
20200701,Parent,SSI20210625,NA,NA,,The Bike Shop,NA,0,The Bike Shop,Receipt,NO
20200701,Child,SSI20210626,SSI20210626,New Ref,,The Bike Shop,-145313.0,NA,The Bike Shop,Receipt,NO
20200701,Parent,SSI20210626,NA,NA,,The Bike Shop,NA,0,The Bike Shop,Receipt,NO
